student_id,attendance_percentage,assignment_average,internal_marks,previous_sem_gpa,at_risk
S2094,72,88,81,4.0,1
S2095,58,56,60,5.05,1
S2096,81,67,69,7.95,1
S2097,81,55,35,10.0,1
S2098,77,63,82,6.88,1
S2099,74,77,74,5.55,1
S2100,58,79,82,6.52,1
S2101,72,53,35,9.29,1
S2102,73,85,100,5.7,0
S2103,67,92,66,5.42,1
S2104,75,78,87,5.99,1
S2105,83,100,55,5.15,0
S2106,100,64,81,7.06,0
S2107,80,50,47,9.74,1
S2108,81,41,53,7.42,1
S2109,76,97,100,6.4,0
S2110,52,75,60,6.33,1
S2111,77,70,71,4.06,1
S2112,78,76,83,8.42,0
S2113,100,58,78,6.71,0
S2114,75,100,74,6.52,0
S2115,81,75,75,10.0,0
S2116,77,73,100,7.38,0
S2117,62,79,65,5.51,1
S2118,93,84,76,6.09,0
S2119,87,78,88,8.89,0
S2120,88,60,87,7.05,0
S2121,65,76,86,4.28,1
S2122,96,100,86,8.48,0
S2123,59,89,47,5.66,1
S2124,85,100,100,10.0,0
S2125,100,69,52,8.77,0
S2126,64,50,67,6.05,1
S2127,70,67,52,9.13,1
S2128,79,73,67,6.97,1
S2129,71,89,74,8.36,0
S2130,57,35,63,7.71,1
S2131,78,98,79,5.34,0
S2132,63,64,91,5.7,1
S2133,84,66,76,8.68,1
S2134,65,50,58,6.25,1
S2135,98,48,84,6.13,1
S2136,67,83,87,5.14,1
S2137,73,71,46,7.6,1
S2138,88,52,77,10.0,1
S2139,61,43,72,4.94,1
S2140,80,66,62,6.89,1
S2141,95,100,99,9.36,0
S2142,56,60,59,6.7,1
S2143,80,45,66,7.65,1
S2144,81,68,65,4.95,1
S2145,88,69,69,7.61,1
S2146,61,35,40,6.51,1
S2147,60,65,39,8.6,1
S2148,84,69,96,8.96,0
S2149,81,85,56,10.0,0
S2150,81,100,56,7.88,0
S2151,82,92,35,7.43,1
S2152,68,64,54,7.19,1
S2153,80,52,43,6.22,1
S2154,81,100,100,7.45,0
S2155,68,69,82,6.32,1
S2156,100,78,61,7.15,0
S2157,84,73,100,9.19,0
S2158,61,70,81,5.05,1
S2159,86,71,64,8.88,1
S2160,64,57,35,9.19,1
S2161,88,65,100,6.64,0
S2162,93,75,47,4.0,1
S2163,66,58,35,5.76,1
S2164,90,62,86,9.16,0
S2165,83,75,100,6.81,0
S2166,88,70,93,5.07,0
S2167,100,100,86,5.95,0
S2168,74,35,71,8.34,1
S2169,67,87,82,7.82,1
S2170,65,89,81,6.42,1
S2171,66,35,64,6.19,1
S2172,76,65,68,6.15,1
S2173,82,66,67,5.2,1
S2174,81,47,52,9.72,1
S2175,88,61,63,6.27,1
S2176,77,51,36,9.01,1
S2177,97,100,74,9.56,0
S2178,74,87,52,8.62,1
S2179,100,100,57,6.08,0
S2180,86,86,74,7.57,0
S2181,66,48,85,6.8,1
S2182,63,58,78,5.24,1
S2183,84,82,44,7.42,1
S2184,74,49,47,4.75,1
S2185,87,87,88,8.96,0
S2186,84,69,52,6.02,1
S2187,76,64,62,7.2,1
S2188,66,80,76,7.35,1
S2189,57,73,47,6.38,1
S2190,71,63,67,7.89,1
S2191,89,95,51,6.0,0
S2192,80,53,55,8.4,1
S2193,61,77,70,4.45,1
S2194,80,82,42,7.07,1
S2195,82,67,75,10.0,0
S2196,65,73,65,5.06,1
S2197,79,49,74,5.64,1
S2198,78,88,74,7.76,0
S2199,62,63,86,7.17,1
S2200,82,63,69,7.47,1
S2201,85,92,65,7.72,0
S2202,92,63,71,7.98,0
S2203,91,50,76,8.82,1
S2204,59,38,60,7.58,1
S2205,65,78,67,6.42,1
S2206,84,50,54,8.04,1
S2207,84,100,62,10.0,0
S2208,84,36,40,6.61,1
S2209,100,100,100,5.11,0
S2210,85,77,49,8.82,1
S2211,92,74,59,6.63,1
S2212,90,65,57,4.0,1
S2213,86,81,86,8.36,0
S2214,73,69,61,5.89,1
S2215,87,94,94,6.68,0
S2216,67,70,54,7.44,1
S2217,74,73,72,7.19,1
S2218,71,63,51,8.11,1
S2219,78,70,100,6.07,0
S2220,100,83,54,7.76,0
S2221,52,35,62,6.38,1
S2222,86,50,77,8.16,1
S2223,56,78,71,7.94,1
S2224,71,72,63,5.18,1
S2225,92,72,68,8.78,0
S2226,78,72,68,5.89,1
S2227,63,73,62,8.29,1
S2228,68,59,80,7.5,1
S2229,86,60,100,10.0,0
S2230,68,72,56,6.45,1
S2231,80,55,42,6.22,1
S2232,78,79,67,6.81,1
S2233,69,39,100,6.31,1
S2234,100,96,62,8.27,0
S2235,86,82,99,4.0,0
S2236,50,67,90,4.97,1
S2237,80,89,61,4.94,1
S2238,68,98,79,8.54,0
S2239,89,93,100,9.89,0
S2240,67,35,53,6.66,1
S2241,76,48,60,6.55,1
S2242,84,62,57,6.97,1
S2243,89,75,53,8.92,0
S2244,61,75,54,5.19,1
S2245,73,57,44,7.27,1
S2246,71,73,67,8.58,1
S2247,69,55,50,7.74,1
S2248,100,67,75,7.18,0
S2249,83,48,39,8.63,1
S2250,60,50,66,4.0,1
S2251,90,51,81,8.05,1
S2252,100,61,37,5.68,1
S2253,91,94,80,4.0,0
S2254,57,48,81,7.76,1
S2255,71,100,50,9.29,0
S2256,94,85,100,6.6,0
S2257,68,72,73,8.54,1
S2258,83,58,55,9.72,1
S2259,88,87,71,9.19,0
S2260,65,57,72,9.77,1
S2261,76,73,69,8.17,1
S2262,50,100,75,6.98,1
S2263,64,65,48,4.0,1
S2264,74,90,72,6.41,1
S2265,61,54,38,5.34,1
S2266,99,77,71,10.0,0
S2267,58,97,52,6.53,1
S2268,71,58,52,7.07,1
S2269,79,100,93,7.83,0
S2270,97,90,93,6.92,0
S2271,58,55,71,9.86,1
S2272,93,87,54,5.74,0
S2273,77,88,64,7.19,1
S2274,64,78,86,5.52,1
S2275,83,45,67,4.5,1
S2276,80,59,100,5.76,1
S2277,69,64,71,6.78,1
S2278,78,70,71,6.08,1
S2279,72,80,62,5.61,1
S2280,79,75,71,4.34,1
S2281,86,50,63,6.7,1
S2282,98,84,86,4.17,0
S2283,61,77,81,8.2,1
S2284,100,88,61,6.99,0
S2285,51,82,41,4.25,1
S2286,75,85,38,6.3,1
S2287,85,82,79,5.51,0
S2288,81,71,49,7.41,1
S2289,69,39,35,9.23,1
S2290,74,78,74,4.0,1
S2291,71,73,100,7.05,1
S2292,69,73,66,6.56,1
S2293,89,52,81,8.04,1
S2294,82,53,67,7.23,1
S2295,68,87,66,5.51,1
S2296,89,74,86,6.28,0
S2297,81,84,65,5.43,1
S2298,88,75,75,8.76,0
S2299,86,74,75,6.88,0
S2300,66,84,56,10.0,1
S2301,70,60,81,6.74,1
S2302,87,76,67,5.58,1
S2303,85,65,55,4.15,1
S2304,77,63,75,4.0,1
S2305,79,66,52,4.02,1
S2306,94,80,73,7.32,0
S2307,69,60,64,7.75,1
S2308,85,96,91,4.03,0
S2309,75,55,73,8.44,1
S2310,74,67,66,5.99,1
S2311,92,68,84,7.11,0
S2312,88,100,98,9.72,0
S2313,88,78,80,8.44,0
S2314,95,95,75,6.37,0
S2315,78,45,41,5.26,1
S2316,86,78,52,4.0,1
S2317,73,86,64,5.57,1
S2318,82,74,58,6.47,1
S2319,76,90,67,5.09,1
S2320,79,62,67,6.61,1
S2321,85,98,82,6.98,0
S2322,66,100,68,6.45,1
S2323,100,71,80,5.69,0
S2324,64,59,64,7.15,1
S2325,61,92,35,7.63,1
S2326,93,100,59,4.9,0
S2327,88,65,66,9.36,1
S2328,86,66,48,6.67,1
S2329,86,69,79,6.88,0
S2330,77,47,90,8.11,1
S2331,65,51,83,7.26,1
S2332,78,54,61,8.54,1
S2333,68,55,88,7.36,1
S2334,90,74,73,5.76,0
S2335,75,75,62,7.49,1
S2336,66,95,58,4.81,1
S2337,73,52,59,7.04,1
S2338,83,90,65,6.79,0
S2339,70,65,68,6.48,1
S2340,66,67,67,6.62,1
S2341,81,84,70,4.0,1
S2342,81,52,73,5.87,1
S2343,70,76,87,7.01,1
S2344,71,72,82,7.13,1
S2345,80,81,44,5.02,1
S2346,58,70,35,9.1,1
S2347,58,100,84,5.3,1
S2348,68,57,40,8.57,1
S2349,74,61,61,7.61,1
S2350,81,61,47,5.7,1
S2351,97,67,40,10.0,1
S2352,89,63,78,4.72,1
S2353,75,91,83,8.48,0
S2354,77,96,61,8.63,0
S2355,64,57,35,5.65,1
S2356,77,56,56,9.33,1
S2357,73,78,74,6.4,1
S2358,82,63,42,7.36,1
S2359,66,79,69,7.31,1
S2360,84,77,69,6.61,1
S2361,98,51,78,8.29,0
S2362,76,98,73,8.26,0
S2363,83,100,56,4.0,0
S2364,86,63,88,9.17,0
S2365,72,63,62,4.0,1
S2366,80,77,68,8.68,1
S2367,77,77,52,8.85,1
S2368,79,83,62,4.9,1
S2369,67,100,55,6.11,1
S2370,78,68,64,4.88,1
S2371,84,59,96,6.46,1
S2372,97,53,45,6.3,1
S2373,90,62,41,8.23,1
S2374,100,77,98,9.18,0
S2375,67,100,66,9.33,0
S2376,89,65,57,5.84,1
S2377,80,76,86,6.47,0
S2378,100,78,63,4.0,0
S2379,66,89,99,5.41,0
S2380,66,100,81,8.56,0
S2381,69,59,56,9.72,1
S2382,50,54,96,4.65,1
S2383,70,87,58,5.79,1
S2384,67,80,79,6.8,1
S2385,79,100,77,7.34,0
S2386,82,83,92,5.4,0
S2387,100,72,99,7.6,0
S2388,90,85,73,6.0,0
S2389,70,89,56,6.82,1
S2390,65,82,74,7.82,1
S2391,84,82,59,6.86,1
S2392,60,85,100,6.07,1
S2393,100,99,78,6.65,0
S2394,93,100,69,6.69,0
S2395,71,81,71,6.19,1
S2396,54,61,38,6.39,1
S2397,95,79,56,9.69,0
S2398,76,92,91,7.84,0
S2399,94,62,58,6.32,1
S2400,56,71,45,8.09,1
S2401,69,62,73,6.25,1
S2402,77,72,88,8.94,0
S2403,78,94,83,7.5,0
S2404,71,73,83,6.65,1
S2405,86,75,57,7.64,1
S2406,63,43,36,4.05,1
S2407,75,84,94,4.84,0
S2408,79,83,64,4.72,1
S2409,84,100,69,7.1,0
S2410,87,69,92,9.93,0
S2411,62,70,74,10.0,1
S2412,57,69,71,7.98,1
S2413,94,100,100,7.74,0
S2414,82,71,57,4.0,1
S2415,67,73,81,5.88,1
S2416,98,88,75,5.44,0
S2417,79,75,73,5.74,1
S2418,93,68,96,6.55,0
S2419,78,75,77,6.01,1
S2420,100,97,85,4.0,0
S2421,100,60,89,8.18,0
S2422,74,72,61,4.94,1
S2423,90,63,54,7.27,1
S2424,86,95,55,10.0,0
S2425,96,50,35,5.21,1
S2426,64,57,98,4.0,1
S2427,86,80,52,6.34,1
S2428,91,100,71,8.81,0
S2429,54,63,57,10.0,1
S2430,61,56,67,4.66,1
S2431,50,96,80,7.73,1
S2432,74,45,77,6.02,1
S2433,87,35,54,6.66,1
S2434,97,85,71,10.0,0
S2435,78,62,71,4.17,1
S2436,99,60,66,7.3,0
S2437,59,78,92,7.68,1
S2438,55,69,71,8.78,1
S2439,77,61,78,7.02,1
S2440,82,50,76,7.39,1
S2441,77,86,90,6.15,0
S2442,50,74,65,7.33,1
S2443,76,69,45,6.23,1
S2444,60,99,75,7.95,1
S2445,86,55,56,6.19,1
S2446,82,46,56,7.52,1
S2447,65,55,72,6.79,1
S2448,70,68,87,8.85,1
S2449,63,71,65,6.75,1
S2450,76,66,72,4.0,1
S2451,90,81,100,9.09,0
S2452,64,45,65,5.23,1
S2453,84,99,100,5.68,0
S2454,70,67,75,5.79,1
S2455,67,88,38,9.29,1
S2456,76,77,81,4.0,1
S2457,63,75,72,10.0,1
S2458,70,79,89,8.73,0
S2459,61,74,76,7.24,1
S2460,100,89,72,6.75,0
S2461,78,95,50,7.35,1
S2462,68,72,62,7.77,1
S2463,80,84,55,8.0,1
S2464,76,69,57,7.84,1
S2465,74,96,80,7.01,0
S2466,85,61,96,6.49,0
S2467,87,100,80,6.58,0
S2468,70,68,45,6.5,1
S2469,70,44,69,8.87,1
S2470,74,72,87,7.9,1
S2471,50,51,49,4.0,1
S2472,57,80,62,8.01,1
S2473,96,65,70,7.19,0
S2474,99,70,58,6.81,0
S2475,74,37,73,6.15,1
S2476,85,65,66,8.85,1
S2477,81,35,70,8.53,1
S2478,100,50,54,5.47,1
S2479,92,89,66,7.57,0
S2480,76,85,82,5.12,1
S2481,64,75,59,4.39,1
S2482,56,48,89,5.73,1
S2483,80,71,61,8.38,1
S2484,67,68,69,8.54,1
S2485,58,45,75,7.76,1
S2486,69,95,45,8.14,1
S2487,63,82,36,7.77,1
S2488,100,74,46,5.7,1
S2489,89,75,92,7.62,0
S2490,77,75,59,8.27,1
S2491,97,41,100,8.19,0
S2492,78,67,57,8.96,1
S2493,66,56,66,8.11,1
S2494,98,60,96,7.47,0
S2495,84,68,100,8.75,0
S2496,63,99,100,6.8,0
S2497,75,82,89,5.28,0
S2498,66,58,81,6.56,1
S2499,59,76,75,5.52,1
